"CONGRESS2","CD","DoD","Population","MR","jenks"
"113 - 114 (2013 - 2015)","CD 01",836.806,1194237,7.00703461708187,"(6.23,8.06]"
"113 - 114 (2013 - 2015)","CD 02",583.0678,1110900,5.24860743541273,"(4.64,5.25]"
"113 - 114 (2013 - 2015)","CD 03",643.2362,1084959,5.92866827225729,"(5.25,6.23]"
"113 - 114 (2013 - 2015)","CD 04",518.143,1141446,4.53935622009276,"(4.15,4.64]"
"113 - 114 (2013 - 2015)","CD 05",442.8062,1067916,4.14645159357103,"[3.52,4.15]"
"113 - 114 (2013 - 2015)","CD 06",442.5861,1148301,3.85426904618214,"[3.52,4.15]"
"113 - 114 (2013 - 2015)","CD 07",514.4857,1122912,4.58170987575162,"(4.15,4.64]"
"113 - 114 (2013 - 2015)","CD 08",559.9997,1147026,4.88218837236471,"(4.64,5.25]"
"113 - 114 (2013 - 2015)","CD 09",630.8244,1068897,5.90163879213806,"(5.25,6.23]"
"113 - 114 (2013 - 2015)","CD 10",442.6007,1089009,4.06425199424431,"[3.52,4.15]"
"113 - 114 (2013 - 2015)","CD 11",555.958,1112817,4.99595171533145,"(4.64,5.25]"
"113 - 114 (2013 - 2015)","CD 12",621.533,1116111,5.56873823481715,"(5.25,6.23]"
"113 - 114 (2013 - 2015)","CD 13",597.1501,1159569,5.14975909152452,"(4.64,5.25]"
"113 - 114 (2013 - 2015)","CD 14",830.0795,1139823,7.2825298313861,"(6.23,8.06]"
"113 - 114 (2013 - 2015)","CD 15",481.5703,1119810,4.3004643644904,"(4.15,4.64]"
"113 - 114 (2013 - 2015)","CD 16",425.4473,1089375,3.90542558806655,"[3.52,4.15]"
"113 - 114 (2013 - 2015)","CD 17",645.3971,1099716,5.86876157116928,"(5.25,6.23]"
"113 - 114 (2013 - 2015)","CD 18",626.3089,1136973,5.50856440742216,"(5.25,6.23]"
