"CONGRESS2","CD","InfantMortality","LiveBirths","IMR","jenks"
"113 - 114 (2013 - 2015)","CD 01",267.1812,32020.2287,8.3441377793782,"(7.11,8.34]"
"113 - 114 (2013 - 2015)","CD 02",274.4243,28538.4528,9.61594876650075,"(8.34,9.62]"
"113 - 114 (2013 - 2015)","CD 03",134.6434,22190.1236,6.06771744164598,"(5.67,7.11]"
"113 - 114 (2013 - 2015)","CD 04",137.3486,23270.7009,5.90221156596104,"(5.67,7.11]"
"113 - 114 (2013 - 2015)","CD 05",91.9902,19230.3894,4.78358488154171,"(4.26,5.67]"
"113 - 114 (2013 - 2015)","CD 06",91.2033,22883.3378,3.985576789414,"[3.34,4.26]"
"113 - 114 (2013 - 2015)","CD 07",112.4474,21761.3507,5.16729873757331,"(4.26,5.67]"
"113 - 114 (2013 - 2015)","CD 08",66.4676,17520.3357,3.7937400936901,"[3.34,4.26]"
"113 - 114 (2013 - 2015)","CD 09",135.6563,20539.7373,6.60457814131829,"(5.67,7.11]"
"113 - 114 (2013 - 2015)","CD 10",138.872,19540.3529,7.10693408203493,"(5.67,7.11]"
"113 - 114 (2013 - 2015)","CD 11",113.5068,22002.9366,5.15871140582208,"(4.26,5.67]"
"113 - 114 (2013 - 2015)","CD 12",98.6706,20025.6032,4.92722236701464,"(4.26,5.67]"
"113 - 114 (2013 - 2015)","CD 13",159.8209,27255.3155,5.86384332993687,"(5.67,7.11]"
"113 - 114 (2013 - 2015)","CD 14",187.5604,24301.3306,7.7181123571892,"(7.11,8.34]"
"113 - 114 (2013 - 2015)","CD 15",118.3004,22423.4672,5.27574076501425,"(4.26,5.67]"
"113 - 114 (2013 - 2015)","CD 16",198.1633,29491.8555,6.71925508383153,"(5.67,7.11]"
"113 - 114 (2013 - 2015)","CD 17",140.2642,20063.7797,6.99091607350533,"(5.67,7.11]"
"113 - 114 (2013 - 2015)","CD 18",83.4791,19889.7019,4.1971016166914,"[3.34,4.26]"
