county,tract,cd106,cntyname,pop2k,afact106
42001,301.01,19,Adams PA,2528,1
42001,301.02,19,Adams PA,5106,1
42001,302,19,Adams PA,5080,1
42001,303,19,Adams PA,3550,1
42001,304,19,Adams PA,5438,1
42001,305,19,Adams PA,3779,1
42001,306,19,Adams PA,4539,1
42001,307,19,Adams PA,5798,1
42001,308,19,Adams PA,6132,1
42001,309,19,Adams PA,6572,1
42001,310,19,Adams PA,1345,1
42001,311.01,19,Adams PA,5014,1
42001,311.02,19,Adams PA,2041,1
42001,312.01,19,Adams PA,3232,1
42001,312.02,19,Adams PA,2269,1
42001,312.03,19,Adams PA,2989,1
42001,313,19,Adams PA,3947,1
42001,314.01,19,Adams PA,3423,1
42001,314.02,19,Adams PA,2295,1
42001,315.01,19,Adams PA,2896,1
42001,315.02,19,Adams PA,4594,1
42001,316,19,Adams PA,6023,1
42001,317,19,Adams PA,2702,1
42003,103,14,Allegheny PA,3922,1
42003,201,14,Allegheny PA,5222,1
42003,203,14,Allegheny PA,266,1
42003,305,14,Allegheny PA,2724,1
42003,402,14,Allegheny PA,2272,1
42003,403,14,Allegheny PA,4439,1
42003,404,14,Allegheny PA,2562,1
42003,405,14,Allegheny PA,3010,1
42003,406,14,Allegheny PA,2271,1
42003,409,14,Allegheny PA,3007,1
42003,501,14,Allegheny PA,2143,1
42003,506,14,Allegheny PA,2246,1
42003,507,14,Allegheny PA,2856,1
42003,509,14,Allegheny PA,2109,1
42003,510,14,Allegheny PA,1250,1
42003,511,14,Allegheny PA,1381,1
42003,603,14,Allegheny PA,2585,1
42003,605,14,Allegheny PA,1488,1
42003,703,14,Allegheny PA,2224,1
42003,705,14,Allegheny PA,3138,1
42003,706,14,Allegheny PA,1977,1
42003,708,14,Allegheny PA,1667,1
42003,709,14,Allegheny PA,4748,1
42003,802,14,Allegheny PA,1828,1
42003,804,14,Allegheny PA,1413,1
42003,806,14,Allegheny PA,2118,1
42003,807,14,Allegheny PA,1791,1
42003,809,14,Allegheny PA,1920,1
42003,901,14,Allegheny PA,1957,1
42003,902,14,Allegheny PA,3149,1
42003,903,14,Allegheny PA,1810,1
42003,1005,14,Allegheny PA,2100,1
42003,1011,14,Allegheny PA,2899,1
42003,1014,14,Allegheny PA,3549,1
42003,1016,14,Allegheny PA,1879,1
42003,1017,14,Allegheny PA,2004,1
42003,1018,14,Allegheny PA,2742,1
42003,1102,14,Allegheny PA,4233,1
42003,1106,14,Allegheny PA,2516,1
42003,1113,14,Allegheny PA,3188,1
