county,tract,cd114,cntyname,pop10,afact114
42001,301.01,4,Adams PA,2580,1
42001,301.02,4,Adams PA,5780,1
42001,302,4,Adams PA,5500,1
42001,303,4,Adams PA,4156,1
42001,304,4,Adams PA,5829,1
42001,305,4,Adams PA,3767,1
42001,306,4,Adams PA,4928,1
42001,307,4,Adams PA,6493,1
42001,308,4,Adams PA,7451,1
42001,309,4,Adams PA,7300,1
42001,310,4,Adams PA,1781,1
42001,311.01,4,Adams PA,5163,1
42001,311.02,4,Adams PA,3179,1
42001,312.01,4,Adams PA,3670,1
42001,312.02,4,Adams PA,2700,1
42001,312.03,4,Adams PA,3148,1
42001,313,4,Adams PA,4434,1
42001,314.01,4,Adams PA,3975,1
42001,314.02,4,Adams PA,2187,1
42001,315.01,4,Adams PA,3315,1
42001,315.02,4,Adams PA,4305,1
42001,316,4,Adams PA,6887,1
42001,317,4,Adams PA,2879,1
42003,103,14,Allegheny PA,6600,1
42003,201,14,Allegheny PA,3629,1
42003,203,14,Allegheny PA,616,1
42003,305,14,Allegheny PA,2256,1
42003,402,14,Allegheny PA,2604,1
42003,404,14,Allegheny PA,2488,1
42003,405,14,Allegheny PA,3694,1
42003,406,14,Allegheny PA,2392,1
42003,409,14,Allegheny PA,2969,1
42003,501,14,Allegheny PA,1707,1
42003,506,14,Allegheny PA,2057,1
42003,509,14,Allegheny PA,1202,1
42003,510,14,Allegheny PA,2106,1
42003,511,14,Allegheny PA,1122,1
42003,603,14,Allegheny PA,2341,1
42003,605,14,Allegheny PA,1274,1
42003,703,14,Allegheny PA,2197,1
42003,705,14,Allegheny PA,2997,1
42003,706,14,Allegheny PA,2082,1
42003,708,14,Allegheny PA,1705,1
42003,709,14,Allegheny PA,4934,1
42003,802,14,Allegheny PA,1679,1
42003,804,14,Allegheny PA,1369,1
42003,806,14,Allegheny PA,1998,1
42003,807,14,Allegheny PA,1785,1
42003,809,14,Allegheny PA,1767,1
42003,901,14,Allegheny PA,1843,1
42003,902,14,Allegheny PA,2635,1
42003,903,14,Allegheny PA,1629,1
42003,1005,14,Allegheny PA,2079,1
42003,1011,14,Allegheny PA,2669,1
42003,1014,14,Allegheny PA,3346,1
42003,1016,14,Allegheny PA,857,1
42003,1017,14,Allegheny PA,1465,1
42003,1018,14,Allegheny PA,2522,1
42003,1102,14,Allegheny PA,3971,1
42003,1106,14,Allegheny PA,2406,1
42003,1113,14,Allegheny PA,2639,1
42003,1114,14,Allegheny PA,1353,1
42003,1115,14,Allegheny PA,3230,1
42003,1203,14,Allegheny PA,1650,1
42003,1204,14,Allegheny PA,869,1
42003,1207,14,Allegheny PA,818,1
42003,1208,14,Allegheny PA,859,1
42003,1301,14,Allegheny PA,1910,1
42003,1302,14,Allegheny PA,1370,1
42003,1303,14,Allegheny PA,1153,1
42003,1304,14,Allegheny PA,1191,1
42003,1306,14,Allegheny PA,3169,1
42003,1401,14,Allegheny PA,5476,1
42003,1402,14,Allegheny PA,2447,1
42003,1403,14,Allegheny PA,3440,1
42003,1404,14,Allegheny PA,2306,1
42003,1405,14,Allegheny PA,2054,1
42003,1406,14,Allegheny PA,3002,1
42003,1408,14,Allegheny PA,4554,1
42003,1410,14,Allegheny PA,928,1
42003,1411,14,Allegheny PA,1361,1
42003,1413,14,Allegheny PA,5177,1
42003,1414,14,Allegheny PA,5351,1
42003,1516,14,Allegheny PA,2363,1
42003,1517,14,Allegheny PA,4931,1
42003,1608,14,Allegheny PA,2559,1
42003,1609,14,Allegheny PA,2872,1
42003,1702,14,Allegheny PA,3725,1
42003,1706,14,Allegheny PA,1864,1
42003,1803,14,Allegheny PA,2500,1
42003,1807,14,Allegheny PA,2011,1
42003,1903,14,Allegheny PA,1945,1
42003,1911,14,Allegheny PA,2425,1
42003,1914,14,Allegheny PA,2796,1
42003,1915,14,Allegheny PA,2047,1
42003,1916,14,Allegheny PA,4295,1
42003,1917,14,Allegheny PA,3448,1
42003,1918,14,Allegheny PA,5322,1
42003,1919,14,Allegheny PA,2183,1
42003,1920,14,Allegheny PA,3679,1
42003,2022,14,Allegheny PA,2568,1
42003,2023,14,Allegheny PA,4144,1
42003,2107,14,Allegheny PA,2130,1
42003,2206,14,Allegheny PA,1833,1
42003,2406,14,Allegheny PA,2714,1
42003,2412,14,Allegheny PA,884,1
42003,2503,14,Allegheny PA,1090,1
42003,2507,14,Allegheny PA,761,1
42003,2509,14,Allegheny PA,1285,1
42003,2602,14,Allegheny PA,2285,1
42003,2607,14,Allegheny PA,1744,1
42003,2609,14,Allegheny PA,1214,1
42003,2612,14,Allegheny PA,1051,1
42003,2614,14,Allegheny PA,2473,1
42003,2615,14,Allegheny PA,1672,1
42003,2620,14,Allegheny PA,2648,1
42003,2701,14,Allegheny PA,2649,1
42003,2703,14,Allegheny PA,1947,1
42003,2704,14,Allegheny PA,1079,1
42003,2708,14,Allegheny PA,2651,1
42003,2715,14,Allegheny PA,3167,1
42003,2814,14,Allegheny PA,2352,1
42003,2815,14,Allegheny PA,1462,1
42003,2901,14,Allegheny PA,2120,1
42003,2902,14,Allegheny PA,3944,1
42003,2904,14,Allegheny PA,4049,1
42003,3001,14,Allegheny PA,3747,1
42003,3102,14,Allegheny PA,3227,1
42003,3103,14,Allegheny PA,990,1
42003,3204,14,Allegheny PA,1994,1
42003,3206,14,Allegheny PA,2261,1
42003,3207,14,Allegheny PA,1650,1
42003,4011,12,Allegheny PA,4447,1
42003,4012,14,Allegheny PA,3272,1
42003,4013,12,Allegheny PA,2742,1
42003,4020,14,Allegheny PA,3260,1
42003,4035,14,Allegheny PA,4530,1
42003,4040,14,Allegheny PA,1500,1
42003,4050,12,Allegheny PA,1157,1
42003,4060,12,Allegheny PA,2376,1
42003,4070.01,12,Allegheny PA,5174,1
42003,4070.02,12,Allegheny PA,6597,1
42003,4080.01,12,Allegheny PA,4769,1
42003,4080.02,12,Allegheny PA,6331,1
42003,4090,12,Allegheny PA,11497,1
42003,4100,12,Allegheny PA,1171,1
42003,4110,12,Allegheny PA,6915,1
42003,4120.01,12,Allegheny PA,8605,1
42003,4120.02,12,Allegheny PA,4865,1
42003,4131,12,Allegheny PA,6609,1
42003,4132.01,12,Allegheny PA,3737,1
42003,4132.02,12,Allegheny PA,2866,1
42003,4133,12,Allegheny PA,4742,1
