State-County FIPS Code,Select State,Select County,State-County-Tract FIPS Code (lookup by address at http://www.ffiec.gov/Geocode/),Primary RUCA Code 2010,"Secondary RUCA Code, 2010 (see errata)","Tract Population, 2010","Land Area (square miles), 2010","Population Density (per square mile), 2010"
42001,PA,Adams County,42001030101,2,2,"2,580",21.1,122
42001,PA,Adams County,42001030102,2,2,"5,780",26.3,219.7
42001,PA,Adams County,42001030200,2,2,"5,500",46.8,117.6
42001,PA,Adams County,42001030300,2,2,"4,156",43.2,96.3
42001,PA,Adams County,42001030400,2,2,"5,829",68.9,84.6
42001,PA,Adams County,42001030500,2,2,"3,767",24.6,153
42001,PA,Adams County,42001030600,1,1,"4,928",34.3,143.7
42001,PA,Adams County,42001030700,2,2,"6,493",31.4,206.9
42001,PA,Adams County,42001030800,2,2,"7,451",22.5,331.5
42001,PA,Adams County,42001030900,1,1,"7,300",10.1,722.6
42001,PA,Adams County,42001031000,1,1,"1,781",3.1,575.9
42001,PA,Adams County,42001031101,1,1,"5,163",1.2,"4,446.00"
42001,PA,Adams County,42001031102,1,1,"3,179",6.7,476.1
42001,PA,Adams County,42001031201,2,2,"3,670",26,141.1
42001,PA,Adams County,42001031202,3,3,"2,700",10.9,247.7
42001,PA,Adams County,42001031203,3,3,"3,148",17.5,179.4
42001,PA,Adams County,42001031300,3,3,"4,434",1.5,"2,950.70"
42001,PA,Adams County,42001031401,1,1,"3,975",11.4,347.3
42001,PA,Adams County,42001031402,2,2,"2,187",22,99.5
42001,PA,Adams County,42001031501,1,1,"3,315",0.6,"5,795.00"
42001,PA,Adams County,42001031502,1,1,"4,305",1.1,"3,952.20"
42001,PA,Adams County,42001031600,7,7,"6,887",47.7,144.3
42001,PA,Adams County,42001031700,10,10,"2,879",39.8,72.3
42003,PA,Allegheny County,42003010300,1,1,"6,600",0.3,"19,847.10"
42003,PA,Allegheny County,42003020100,1,1,"3,629",0.6,"5,596.90"
42003,PA,Allegheny County,42003020300,1,1,616,0.6,"1,001.40"
42003,PA,Allegheny County,42003030500,1,1,"2,256",0.3,"8,752.20"
42003,PA,Allegheny County,42003040200,1,1,"2,604",0.2,"10,997.70"
42003,PA,Allegheny County,42003040400,1,1,"2,488",0.1,"32,306.40"
42003,PA,Allegheny County,42003040500,1,1,"3,694",0.2,"20,272.60"
42003,PA,Allegheny County,42003040600,1,1,"2,392",0.1,"24,481.10"
42003,PA,Allegheny County,42003040900,1,1,"2,969",0.4,"8,349.80"
42003,PA,Allegheny County,42003050100,1,1,"1,707",0.3,"5,593.70"
42003,PA,Allegheny County,42003050600,1,1,"2,057",0.3,"6,607.30"
42003,PA,Allegheny County,42003050900,1,1,"1,202",0.2,"6,728.80"
42003,PA,Allegheny County,42003051000,1,1,"2,106",0.2,"8,470.60"
42003,PA,Allegheny County,42003051100,1,1,"1,122",0.1,"15,823.80"
42003,PA,Allegheny County,42003060300,1,1,"2,341",0.4,"5,416.90"
42003,PA,Allegheny County,42003060500,1,1,"1,274",0.3,"5,018.30"
42003,PA,Allegheny County,42003070300,1,1,"2,197",0.2,"13,277.90"
42003,PA,Allegheny County,42003070500,1,1,"2,997",0.2,"18,805.90"
42003,PA,Allegheny County,42003070600,1,1,"2,082",0.1,"18,611.00"
42003,PA,Allegheny County,42003070800,1,1,"1,705",0.2,"9,770.50"
42003,PA,Allegheny County,42003070900,1,1,"4,934",0.3,"15,909.60"
42003,PA,Allegheny County,42003080200,1,1,"1,679",0.1,"12,584.10"
42003,PA,Allegheny County,42003080400,1,1,"1,369",0.2,"8,238.30"
42003,PA,Allegheny County,42003080600,1,1,"1,998",0.2,"12,779.80"
42003,PA,Allegheny County,42003080700,1,1,"1,785",0.1,"16,807.80"
42003,PA,Allegheny County,42003080900,1,1,"1,767",0.1,"12,036.30"
42003,PA,Allegheny County,42003090100,1,1,"1,843",0.3,"7,100.00"
42003,PA,Allegheny County,42003090200,1,1,"2,635",0.2,"15,445.40"
42003,PA,Allegheny County,42003090300,1,1,"1,629",0.1,"16,574.80"
42003,PA,Allegheny County,42003100500,1,1,"2,079",0.3,"7,434.50"
42003,PA,Allegheny County,42003101100,1,1,"2,669",0.4,"6,584.30"
42003,PA,Allegheny County,42003101400,1,1,"3,346",0.4,"8,976.40"
42003,PA,Allegheny County,42003101600,1,1,857,0.2,"4,777.40"
42003,PA,Allegheny County,42003101700,1,1,"1,465",0.2,"9,667.10"
42003,PA,Allegheny County,42003101800,1,1,"2,522",0.5,"5,456.50"
42003,PA,Allegheny County,42003110200,1,1,"3,971",0.3,"12,619.30"
42003,PA,Allegheny County,42003110600,1,1,"2,406",0.2,"9,810.70"
42003,PA,Allegheny County,42003111300,1,1,"2,639",0.2,"12,719.10"
42003,PA,Allegheny County,42003111400,1,1,"1,353",0.1,"10,696.00"
42003,PA,Allegheny County,42003111500,1,1,"3,230",0.4,"8,714.40"
42003,PA,Allegheny County,42003120300,1,1,"1,650",0.4,"3,955.10"
42003,PA,Allegheny County,42003120400,1,1,869,0.2,"5,153.10"
42003,PA,Allegheny County,42003120700,1,1,818,0.2,"4,112.80"
42003,PA,Allegheny County,42003120800,1,1,859,0.3,"3,106.70"
42003,PA,Allegheny County,42003130100,1,1,"1,910",0.3,"6,406.60"
42003,PA,Allegheny County,42003130200,1,1,"1,370",0.1,"10,181.90"
42003,PA,Allegheny County,42003130300,1,1,"1,153",0.2,"5,466.30"
42003,PA,Allegheny County,42003130400,1,1,"1,191",0.2,"6,506.00"
42003,PA,Allegheny County,42003130600,1,1,"3,169",0.5,"5,846.50"
42003,PA,Allegheny County,42003140100,1,1,"5,476",0.6,"9,677.30"
42003,PA,Allegheny County,42003140200,1,1,"2,447",0.3,"8,344.70"
42003,PA,Allegheny County,42003140300,1,1,"3,440",0.4,"9,460.80"
42003,PA,Allegheny County,42003140400,1,1,"2,306",0.3,"7,158.30"
42003,PA,Allegheny County,42003140500,1,1,"2,054",0.3,"7,039.80"
42003,PA,Allegheny County,42003140600,1,1,"3,002",0.3,"8,755.10"
