"CD","MR","jenks"
"CD 01",5.9387709333886,"(5.57,6.36]"
"CD 02",4.52745607377836,"(3.72,4.59]"
"CD 03",3.94714040412027,"(3.72,4.59]"
"CD 04",3.71951766377068,"[3.12,3.72]"
"CD 05",3.42140785021338,"[3.12,3.72]"
"CD 06",3.42290557210728,"[3.12,3.72]"
"CD 07",4.99880922764716,"(4.59,5.57]"
"CD 08",4.32789230822105,"(3.72,4.59]"
"CD 09",3.46239487781226,"[3.12,3.72]"
"CD 10",3.93133092841511,"(3.72,4.59]"
"CD 11",4.58681885766806,"(3.72,4.59]"
"CD 12",5.48593904554753,"(4.59,5.57]"
"CD 13",5.30811682610102,"(4.59,5.57]"
"CD 14",6.35606887807486,"(5.57,6.36]"
"CD 15",3.57508406477171,"[3.12,3.72]"
"CD 16",3.12334981320038,"[3.12,3.72]"
"CD 17",3.48317833970902,"[3.12,3.72]"
"CD 18",4.03143532487583,"(3.72,4.59]"
"CD 19",3.30359858564251,"[3.12,3.72]"
