"CD","AGE_CAT_EDUC","LHS - 111 - 112 (2010 - 2012)","HS - 111 - 112 (2010 - 2012)","SCAD - 111 - 112 (2010 - 2012)","LHS - 113 - 114 (2013 - 2015)","HS - 113 - 114 (2013 - 2015)","SCAD - 113 - 114 (2013 - 2015)"
"CD 01","25 to 34 years","6.00 (5.25, 6.75)","6.74 (6.16, 7.32)","2.85 (2.38, 3.31)","11.83 (10.78, 12.88)","9.26 (8.65, 9.88)","3.45 (2.98, 3.91)"
"CD 02","25 to 34 years","4.90 (3.89, 5.91)","5.52 (4.91, 6.14)","1.67 (1.28, 2.07)","5.29 (4.37, 6.21)","5.77 (5.18, 6.35)","1.95 (1.55, 2.36)"
"CD 03","25 to 34 years","5.63 (4.23, 7.03)","7.34 (6.56, 8.12)","1.67 (1.06, 2.27)","13.59 (11.81, 15.37)","11.28 (10.37, 12.18)","2.46 (1.82, 3.09)"
"CD 04","25 to 34 years","16.19 (13.49, 18.89)","12.38 (11.30, 13.45)","2.86 (2.33, 3.39)","5.69 (4.58, 6.80)","7.36 (6.66, 8.06)","2.97 (2.41, 3.54)"
"CD 05","25 to 34 years","4.92 (3.78, 6.05)","5.23 (4.60, 5.87)","1.81 (1.32, 2.30)","3.55 (2.54, 4.56)","5.99 (5.36, 6.63)","2.97 (2.40, 3.54)"
"CD 06","25 to 34 years","4.21 (3.13, 5.28)","6.49 (5.73, 7.25)","2.60 (2.08, 3.13)","10.10 (8.29, 11.90)","9.46 (8.58, 10.34)","4.35 (3.76, 4.95)"
"CD 07","25 to 34 years","9.37 (7.33, 11.40)","14.46 (13.32, 15.61)","1.87 (1.34, 2.40)","5.58 (4.39, 6.77)","13.11 (12.03, 14.19)","7.71 (6.92, 8.50)"
"CD 08","25 to 34 years","6.63 (4.83, 8.44)","9.76 (8.79, 10.72)","1.64 (1.06, 2.22)","13.48 (11.25, 15.71)","16.18 (15.07, 17.28)","6.95 (6.24, 7.65)"
"CD 09","25 to 34 years","4.09 (3.15, 5.04)","4.57 (3.96, 5.17)","1.97 (1.41, 2.54)","5.00 (3.72, 6.27)","5.86 (5.09, 6.63)","1.78 (1.09, 2.47)"
"CD 10","25 to 34 years","6.74 (5.50, 7.99)","6.25 (5.58, 6.92)","2.92 (2.33, 3.51)","4.63 (3.58, 5.67)","7.47 (6.72, 8.21)","1.08 (0.56, 1.60)"
"CD 11","25 to 34 years","9.10 (7.78, 10.41)","10.79 (10.03, 11.55)","4.69 (4.15, 5.22)","9.39 (8.00, 10.77)","9.17 (8.41, 9.92)","3.08 (2.53, 3.62)"
