"CD","AGE_CAT_EDUC","LHS - 111 - 112 (2010 - 2012)","HS - 111 - 112 (2010 - 2012)","SCAD - 111 - 112 (2010 - 2012)","LHS - 113 - 114 (2013 - 2015)","HS - 113 - 114 (2013 - 2015)","SCAD - 113 - 114 (2013 - 2015)"
"CD 01","25 to 34 years","9.41 (4.00, 22.16)","10.45 (4.61, 23.70)","4.99 (2.09, 11.94)","11.41 (6.67, 19.49)","9.15 (5.52, 15.17)","4.03 (2.30, 7.06)"
"CD 02","25 to 34 years","7.21 (3.24, 16.03)","8.00 (4.20, 15.25)","3.12 (1.48, 6.56)","5.85 (3.11, 11.00)","6.29 (3.76, 10.52)","2.79 (1.54, 5.04)"
"CD 03","25 to 34 years","3.86 (1.70, 8.75)","4.73 (2.51, 8.94)","1.85 (0.90, 3.81)","6.48 (3.68, 11.44)","5.55 (3.40, 9.06)","1.99 (1.13, 3.50)"
"CD 04","25 to 34 years","18.37 (7.81, 43.19)","14.27 (6.83, 29.84)","4.06 (1.82, 9.09)","4.35 (2.16, 8.74)","5.33 (3.01, 9.42)","2.75 (1.48, 5.11)"
"CD 05","25 to 34 years","5.89 (2.18, 15.92)","6.20 (2.64, 14.56)","2.80 (1.11, 7.08)","3.50 (1.49, 8.24)","5.22 (2.75, 9.90)","3.09 (1.54, 6.18)"
"CD 06","25 to 34 years","4.51 (1.99, 10.18)","6.41 (3.48, 11.79)","3.17 (1.63, 6.17)","10.85 (5.14, 22.90)","10.23 (5.60, 18.70)","5.25 (2.77, 9.94)"
"CD 07","25 to 34 years","6.01 (2.98, 12.14)","8.74 (5.50, 13.89)","2.00 (1.13, 3.55)","5.25 (2.49, 11.09)","11.00 (6.24, 19.37)","6.88 (3.85, 12.29)"
"CD 08","25 to 34 years","3.89 (1.80, 8.40)","5.25 (3.18, 8.66)","1.71 (0.95, 3.09)","14.72 (6.68, 32.43)","17.47 (9.10, 33.52)","8.07 (4.10, 15.88)"
"CD 09","25 to 34 years","4.01 (1.59, 10.14)","4.36 (1.93, 9.88)","2.45 (1.01, 5.94)","2.69 (1.36, 5.31)","2.98 (1.74, 5.10)","1.60 (0.88, 2.91)"
"CD 10","25 to 34 years","7.01 (2.74, 17.90)","6.57 (2.83, 15.23)","3.60 (1.47, 8.82)","3.64 (1.68, 7.90)","5.27 (2.78, 9.97)","1.62 (0.77, 3.41)"
"CD 11","25 to 34 years","53.51 (7.16, 399.70)","63.28 (8.81, 454.69)","28.04 (3.84, 204.97)","7.83 (3.75, 16.38)","7.67 (3.98, 14.79)","3.24 (1.60, 6.56)"
"CD 12","25 to 34 years","3.31 (1.44, 7.64)","5.64 (2.96, 10.74)","1.81 (0.88, 3.75)","5.16 (2.81, 9.46)","6.52 (4.27, 9.96)","2.36 (1.47, 3.78)"
"CD 13","25 to 34 years","8.46 (4.64, 15.41)","6.23 (3.69, 10.50)","3.02 (1.70, 5.36)","5.28 (2.49, 11.21)","10.94 (6.07, 19.72)","4.47 (2.36, 8.47)"
"CD 14","25 to 34 years","7.64 (3.73, 15.64)","11.11 (6.36, 19.41)","3.54 (1.93, 6.51)","12.82 (7.27, 22.62)","11.53 (7.27, 18.29)","4.81 (2.95, 7.85)"
"CD 15","25 to 34 years","3.52 (1.78, 6.97)","3.99 (2.31, 6.89)","1.61 (0.86, 3.01)","3.03 (1.47, 6.26)","4.08 (2.36, 7.06)","1.95 (1.07, 3.55)"
"CD 16","25 to 34 years","3.01 (1.23, 7.38)","5.48 (2.49, 12.02)","1.70 (0.67, 4.34)","6.01 (2.42, 14.95)","7.39 (3.17, 17.21)","2.27 (0.86, 5.95)"
