"CD","SEX","AGE_CAT_EDUC","LHS - 111 - 112 (2010 - 2012)","HS - 111 - 112 (2010 - 2012)","SCAD - 111 - 112 (2010 - 2012)","LHS - 113 - 114 (2013 - 2015)","HS - 113 - 114 (2013 - 2015)","SCAD - 113 - 114 (2013 - 2015)"
"CD 01","Male","25 to 34 years",7.15616568707137,10.4983386667494,4.99779157812028,11.6246309879562,3.94180130524318,1.81822407238186
"CD 02","Male","25 to 34 years",6.8520225493853,7.36046268568937,3.32823756210794,6.37356360237364,2.04656862320582,0.0793861642985293
"CD 03","Male","25 to 34 years",6.94288883930785,9.13337493728266,2.34129116965907,10.4853283112245,6.7854486431836,0.704371097779298
"CD 04","Male","25 to 34 years",25.746240536672,17.6930323099844,4.52614379084967,2.23483403792058,3.82197829050138,2.66558073732399
"CD 05","Male","25 to 34 years",5.06508090717861,8.73506243068294,2.35735711858643,3.96634483000979,6.09711938027892,2.09171989487279
"CD 06","Male","25 to 34 years",6.48640423573375,8.00140029825377,3.61333493776769,2.7673408235139,3.53214815681372,1.14339911400735
"CD 07","Male","25 to 34 years",13.5684804413025,17.6203237708843,1.60543782681625,2.43959751971476,6.96536545176649,5.73277640617389
"CD 08","Male","25 to 34 years",8.42466112055864,12.7808352287091,1.03470623237077,13.8572625514914,6.06228892242781,3.1286414553516
"CD 09","Male","25 to 34 years",5.14973678672783,6.42566968483998,3.30546168264338,2.68077571037391,1.47492931520691,1.48296251158076
"CD 10","Male","25 to 34 years",7.44238496366862,7.67135572816195,4.23901391441295,3.61669458640139,4.76904640094259,0.83505051442445
"CD 11","Male","25 to 34 years",14.1079026088153,14.8789850319284,5.3333620897805,5.89621817265365,5.91038901706238,1.12391765268634
"CD 12","Male","25 to 34 years",2.81600149302866,12.5829763252348,0.566993462810807,6.86402142326132,8.3865387755465,3.81819588045674
"CD 13","Male","25 to 34 years",16.4268432493001,12.9323985359387,4.28660264540896,2.43348076387895,7.26241192784425,1.17801413998189
"CD 14","Male","25 to 34 years",9.75964205890246,15.2275652149801,6.01520073250566,9.41721821242461,7.86925232434904,3.64702263056443
"CD 15","Male","25 to 34 years",5.81358507246309,6.01789627539975,-0.266290489569764,2.43494650098839,2.28565580911793,0.696082484602458
"CD 16","Male","25 to 34 years",3.02711102641174,5.98367358655111,0.591832230241843,1.44342055796893,2.49633861000394,0.376646242958601
"CD 17","Male","25 to 34 years",5.08966596763126,4.72896602020662,2.5329604270211,4.24993053976914,6.40000444834818,0.589795175177168
"CD 18","Male","25 to 34 years",8.50750987095423,16.3069561517469,4.50833937370875,13.7006554557301,7.61362717447021,1.55330088213578
"CD 19","Male","25 to 34 years",3.77550354846072,6.42962045586793,-0.252193572410036,NA,NA,NA
"CD 01","Female","25 to 34 years",4.62199504771249,2.95406460913581,1.03182392420803,11.9161992034309,13.607366705822,5.30672906501525
"CD 02","Female","25 to 34 years",3.26178605986191,3.62036336437117,0.262062256572766,4.1294654736368,9.3179932331762,4.44548313350358
"CD 03","Female","25 to 34 years",2.35115670139362,4.054312863501,0.916383698803477,15.7953992619419,13.5971735585088,4.11515556570923
"CD 04","Female","25 to 34 years",6.20455413066079,4.27846430440818,1.0428896617653,7.70883069874014,9.44055165592469,3.13372818166379
"CD 05","Female","25 to 34 years",4.50275449711873,0.130137946285939,1.22376286454776,2.75510708699399,5.44489655867329,3.50909484946814
"CD 06","Female","25 to 34 years",-0.30305785374428,2.98469143400501,1.38301640415397,15.1236805867293,13.4674592058331,7.29564541767533
"CD 07","Female","25 to 34 years",1.24794339280701,8.75777778587388,1.62073226643717,6.66968229389162,16.614582118701,9.23122854721637
"CD 08","Female","25 to 34 years",2.68712826632984,4.73086262040373,1.67122352498049,13.0562983416744,22.1385577834209,10.9818165014915
"CD 09","Female","25 to 34 years",2.4882796867971,1.9517645178653,0.841433670751662,6.0209258547171,7.9995667515178,1.85439209752571
"CD 10","Female","25 to 34 years",4.02738622633911,3.17188441653186,1.33922592741395,4.49872228992166,8.58170811165304,1.12083940040809
"CD 11","Female","25 to 34 years",1.23639960435213,5.72427090865269,4.01054199610405,11.3629563877443,11.0896268997264,4.91089426269141
"CD 12","Female","25 to 34 years",7.57489871048205,5.80497388222278,2.70302073024466,14.1796048906662,18.9796534050867,3.47724066193464
"CD 13","Female","25 to 34 years",8.42477351762845,3.46015879195464,2.44654729162378,5.1595125319802,11.4930852328668,5.51481071076538
"CD 14","Female","25 to 34 years",7.73147837295872,10.7093227596614,0.924038002677113,20.0810849815733,17.0159057580749,5.97888930156634
"CD 15","Female","25 to 34 years",3.28120152386971,4.76885881362307,2.33155926419844,4.13589035151897,7.69444879151978,2.76729662816853
"CD 16","Female","25 to 34 years",1.06297726204284,2.88082260207691,0.805425253220589,6.06133565777061,7.24478742335477,1.76132838867831
"CD 17","Female","25 to 34 years",1.62658850779792,2.04594148973277,-0.069417516571556,6.65732378877274,14.5462563573052,3.77570748610808
"CD 18","Female","25 to 34 years",3.95038851941804,6.58602833300714,2.64048490132795,12.2311652144498,23.3604570289775,5.09811246904432
"CD 19","Female","25 to 34 years",3.20592084529729,2.32310244015746,1.0289625768124,NA,NA,NA
"CD 01","Male","35 to 44 years",6.4419292396561,7.74730888959891,1.73153861039644,4.2866036439069,3.69383657028563,1.35156937061854
