"CD","SEX","AGE_CAT_EDUC","LHS - 111 - 112 (2010 - 2012)","HS - 111 - 112 (2010 - 2012)","SCAD - 111 - 112 (2010 - 2012)","LHS - 113 - 114 (2013 - 2015)","HS - 113 - 114 (2013 - 2015)","SCAD - 113 - 114 (2013 - 2015)"
"CD 01","Male","25 to 34 years",8.16886788116592,11.5169732178829,6.00666265817145,14.1876065829755,5.47179139670444,3.06269117455084
"CD 02","Male","25 to 34 years",6.68452355725191,7.10633184983147,3.76114748449428,9.21887231334269,3.63910227370413,1.10237047725901
"CD 03","Male","25 to 34 years",3.07453518518519,3.72905243126006,1.69957780149413,7.48892032060349,5.19922336032448,1.43590508508285
"CD 04","Male","25 to 34 years",20.6958740105541,14.5351697171381,4.4625,4.43203463203463,6.86941206072297,5.09353233830846
"CD 05","Male","25 to 34 years",4.55340751043115,7.12808304824561,2.65380388654431,9.16095280498664,13.5451279808929,5.3038182696955
"CD 06","Male","25 to 34 years",3.68386369899967,4.31071993375682,2.49508080584572,3.79635836872046,4.56918525320088,2.15538847043137
"CD 07","Male","25 to 34 years",4.82266941864465,5.9642016375351,1.45230253385077,4.76334866352803,11.7448456362403,9.84344087585482
"CD 08","Male","25 to 34 years",2.87518089494599,3.84478837775956,1.23030734780399,20.5761548064919,9.56419556071376,5.41983178397521
"CD 09","Male","25 to 34 years",5.05977464261274,6.06565129999477,3.60584765340024,2.64320827943079,1.90407267304922,1.90899670109854
"CD 10","Male","25 to 34 years",3.82178025897496,3.9085945243326,2.60722212564967,5.20260872608365,6.54164459865034,1.97033091813613
"CD 11","Male","25 to 34 years",36.3699226305609,38.3031033735478,14.3712720952887,7.08135942327497,7.09597523219814,2.15920866698069
"CD 12","Male","25 to 34 years",1.80085486941514,4.57852717292476,1.16124972829124,5.27141817972402,6.21886689768072,3.37602861236137
"CD 13","Male","25 to 34 years",7.71917622871828,6.28982127023661,2.7533763584321,5.41220481000803,14.1676606266726,3.13588688755467
