"CD","111 - 112 (2010 - 2012)","113 - 114 (2013 - 2015)"
"CD 01",5.9387709333886,7.00703461708187
"CD 02",4.52745607377836,5.24860743541273
"CD 03",3.94714040412027,5.92866827225729
"CD 04",3.71951766377068,4.53935622009276
"CD 05",3.42140785021338,4.14645159357103
"CD 06",3.42290557210728,3.85426904618214
"CD 07",4.99880922764716,4.58170987575162
"CD 08",4.32789230822105,4.88218837236471
"CD 09",3.46239487781226,5.90163879213806
"CD 10",3.93133092841511,4.06425199424431
"CD 11",4.58681885766806,4.99595171533145
"CD 12",5.48593904554753,5.56873823481715
"CD 13",5.30811682610102,5.14975909152452
"CD 14",6.35606887807486,7.2825298313861
"CD 15",3.57508406477171,4.3004643644904
"CD 16",3.12334981320038,3.90542558806655
"CD 17",3.48317833970902,5.86876157116928
"CD 18",4.03143532487583,5.50856440742216
"CD 19",3.30359858564251,0
