"CONGRESS2_AJE","CD","IMR","jenks"
"111th-112th (2010-2012)","CD 01",9.65145152269361,"(8.34,9.69]"
"111th-112th (2010-2012)","CD 02",9.68764438874324,"(8.34,9.69]"
"111th-112th (2010-2012)","CD 03",5.91731608503601,"(5.28,6.27]"
"111th-112th (2010-2012)","CD 04",6.2350256044929,"(5.28,6.27]"
"111th-112th (2010-2012)","CD 05",5.19770799396849,"[3.79,5.28]"
"111th-112th (2010-2012)","CD 06",6.03003094603325,"(5.28,6.27]"
"111th-112th (2010-2012)","CD 07",5.61565341223707,"(5.28,6.27]"
"111th-112th (2010-2012)","CD 08",6.26771532544281,"(5.28,6.27]"
"111th-112th (2010-2012)","CD 09",6.93916668855291,"(6.27,7.11]"
"111th-112th (2010-2012)","CD 10",6.80218719953464,"(6.27,7.11]"
"111th-112th (2010-2012)","CD 11",9.44737810974819,"(8.34,9.69]"
"111th-112th (2010-2012)","CD 12",6.7248157755377,"(6.27,7.11]"
"111th-112th (2010-2012)","CD 13",6.05965207587524,"(5.28,6.27]"
"111th-112th (2010-2012)","CD 14",8.27797104639563,"(7.11,8.34]"
"111th-112th (2010-2012)","CD 15",6.02409800439856,"(5.28,6.27]"
"111th-112th (2010-2012)","CD 16",6.52504216289534,"(6.27,7.11]"
"111th-112th (2010-2012)","CD 17",6.76638592461836,"(6.27,7.11]"
"111th-112th (2010-2012)","CD 18",4.84653701753207,"[3.79,5.28]"
"111th-112th (2010-2012)","CD 19",4.88696139971497,"[3.79,5.28]"
