"CD","H - 111 - 112 (2010 - 2012)","NHB - 111 - 112 (2010 - 2012)","NHAAPI - 111 - 112 (2010 - 2012)","H - 113 - 114 (2013 - 2015)","NHB - 113 - 114 (2013 - 2015)","NHAAPI - 113 - 114 (2013 - 2015)"
"CD 01","1.16 (-1.35, 3.68)","9.21 (6.57, 11.85)","-2.37 (-5.33, 0.60)","2.81 (0.51, 5.11)","10.08 (7.61, 12.55)","-1.51 (-3.91, 0.88)"
"CD 02","2.29 (-1.65, 6.23)","9.52 (7.14, 11.90)","0.03 (-3.48, 3.55)","2.47 (-1.04, 5.97)","8.91 (6.67, 11.16)","1.51 (-2.57, 5.58)"
"CD 03","-1.82 (-6.46, 2.83)","6.85 (1.11, 12.59)","5.36 (-6.44, 17.17)","-0.06 (-5.48, 5.36)","3.37 (-1.22, 7.97)","-0.48 (-7.50, 6.55)"
"CD 04","9.07 (-5.01, 23.15)","11.98 (3.74, 20.23)","0.56 (-6.21, 7.32)","5.20 (1.63, 8.77)","12.48 (7.59, 17.37)",NA
"CD 05",NA,"40.84 (7.72, 73.95)","0.39 (-6.98, 7.75)","2.35 (-7.39, 12.10)","0.07 (-9.24, 9.38)","-0.22 (-6.44, 6.00)"
"CD 06","3.08 (0.15, 6.00)","11.42 (6.25, 16.59)","-0.44 (-3.75, 2.88)","2.72 (-0.84, 6.29)","3.28 (-1.72, 8.28)","-3.15 (-4.50, -1.80)"
"CD 07","-0.69 (-4.60, 3.23)","8.14 (4.01, 12.27)","3.08 (-0.76, 6.93)","1.33 (-3.58, 6.24)","3.18 (-1.88, 8.24)","0.20 (-3.60, 4.01)"
"CD 08","0.53 (-3.82, 4.88)","8.57 (0.64, 16.51)","-2.18 (-5.86, 1.51)","2.10 (-1.79, 6.00)","6.13 (-0.48, 12.74)","-1.64 (-4.20, 0.92)"
"CD 09","0.88 (-5.90, 7.67)","3.13 (-6.59, 12.84)","0.14 (-13.40, 13.69)","0.60 (-5.93, 7.13)","9.37 (0.29, 18.45)","0.38 (-12.12, 12.87)"
"CD 10","0.33 (-7.30, 7.96)","11.29 (-1.72, 24.29)","3.88 (-10.27, 18.03)","0.88 (-5.23, 6.99)","9.26 (-0.87, 19.39)","-2.31 (-10.98, 6.35)"
"CD 11","2.60 (-1.48, 6.68)","17.65 (8.09, 27.22)","-1.80 (-10.12, 6.51)","0.92 (-2.31, 4.15)","6.11 (0.77, 11.46)","-2.82 (-6.67, 1.04)"
"CD 12",NA,"6.37 (-1.31, 14.06)","2.26 (-14.29, 18.82)","-0.01 (-7.43, 7.40)","9.20 (2.13, 16.26)",NA
"CD 13","3.09 (-0.45, 6.63)","9.50 (5.17, 13.83)","-1.66 (-4.30, 0.98)","1.85 (-0.51, 4.21)","7.82 (4.86, 10.78)","-1.36 (-3.52, 0.79)"
"CD 14","4.19 (-4.77, 13.15)","8.45 (5.47, 11.43)","4.23 (-2.31, 10.77)","6.96 (-1.78, 15.71)","7.73 (5.08, 10.37)","-3.08 (-5.07, -1.08)"
"CD 15","2.49 (0.00, 4.99)","9.46 (3.33, 15.58)","-3.50 (-6.17, -0.82)","2.96 (0.48, 5.44)","4.67 (-0.69, 10.03)","-0.31 (-4.88, 4.25)"
"CD 16","2.52 (-0.03, 5.07)","5.00 (-0.91, 10.90)","-2.48 (-7.24, 2.27)","3.40 (1.08, 5.72)","4.74 (0.16, 9.31)","-3.77 (-6.96, -0.57)"
"CD 17","6.24 (1.90, 10.59)","7.49 (3.01, 11.97)","-3.21 (-7.13, 0.72)","2.91 (-0.85, 6.67)","9.98 (3.16, 16.81)","-4.13 (-8.04, -0.22)"
"CD 18","0.95 (-7.46, 9.36)","14.71 (4.68, 24.75)",NA,NA,"0.74 (-4.63, 6.12)","-1.63 (-4.97, 1.71)"
"CD 19","3.34 (-0.45, 7.12)","10.96 (4.42, 17.51)","-2.18 (-5.74, 1.37)",NA,NA,NA
