"CD","H - 111 - 112 (2010 - 2012)","NHB - 111 - 112 (2010 - 2012)","NHAAPI - 111 - 112 (2010 - 2012)","H - 113 - 114 (2013 - 2015)","NHB - 113 - 114 (2013 - 2015)","NHAAPI - 113 - 114 (2013 - 2015)"
"CD 01","1.24 (0.77, 1.98)","2.88 (1.92, 4.31)","0.52 (0.19, 1.39)","1.74 (1.12, 2.70)","3.64 (2.53, 5.24)","0.60 (0.23, 1.55)"
"CD 02","1.62 (0.77, 3.40)","3.58 (2.28, 5.63)","1.01 (0.39, 2.60)","1.68 (0.86, 3.27)","3.46 (2.23, 5.37)","1.42 (0.61, 3.31)"
"CD 03","0.64 (0.16, 2.60)","2.35 (1.40, 3.94)","2.05 (0.65, 6.46)","0.99 (0.37, 2.68)","1.61 (0.94, 2.77)","0.91 (0.23, 3.69)"
"CD 04","2.69 (1.00, 7.28)","3.24 (1.93, 5.41)","1.10 (0.35, 3.48)","2.42 (1.52, 3.83)","4.39 (2.98, 6.49)",NA
"CD 05",NA,"9.36 (4.40, 19.91)","1.08 (0.27, 4.37)","1.50 (0.37, 6.09)","1.01 (0.14, 7.25)","0.95 (0.23, 3.86)"
"CD 06","1.70 (1.10, 2.62)","3.60 (2.43, 5.32)","0.90 (0.39, 2.06)","1.76 (0.97, 3.21)","1.91 (0.90, 4.08)","0.12 (0.01, 1.31)"
"CD 07","0.83 (0.26, 2.64)","3.02 (2.00, 4.56)","1.76 (0.99, 3.14)","1.29 (0.56, 2.99)","1.69 (0.86, 3.33)","1.04 (0.47, 2.32)"
"CD 08","1.09 (0.54, 2.20)","2.50 (1.39, 4.50)","0.62 (0.23, 1.69)","1.63 (0.77, 3.44)","2.83 (1.34, 5.97)","0.51 (0.12, 2.10)"
"CD 09","1.13 (0.46, 2.75)","1.46 (0.54, 3.93)","1.02 (0.14, 7.25)","1.10 (0.41, 2.97)","2.56 (1.39, 4.74)","1.06 (0.15, 7.56)"
"CD 10","1.05 (0.33, 3.31)","2.78 (1.30, 5.95)","1.61 (0.40, 6.49)","1.13 (0.50, 2.54)","2.38 (1.24, 4.59)","0.65 (0.09, 4.67)"
"CD 11","1.34 (0.88, 2.02)","3.28 (2.16, 4.99)","0.77 (0.19, 3.09)","1.19 (0.66, 2.15)","2.30 (1.35, 3.90)","0.40 (0.06, 2.89)"
"CD 12",NA,"2.03 (1.07, 3.84)","1.37 (0.19, 9.72)","1.00 (0.14, 7.15)","3.44 (1.90, 6.20)",NA
"CD 13","1.66 (1.01, 2.72)","3.04 (2.08, 4.44)","0.64 (0.28, 1.48)","1.50 (0.93, 2.41)","3.11 (2.15, 4.52)","0.63 (0.27, 1.48)"
"CD 14","1.94 (0.67, 5.58)","2.88 (2.04, 4.08)","1.94 (0.88, 4.27)","2.76 (1.20, 6.38)","2.96 (2.12, 4.12)","0.22 (0.03, 1.59)"
"CD 15","1.53 (1.03, 2.25)","3.00 (1.84, 4.87)","0.26 (0.04, 1.88)","1.70 (1.14, 2.53)","2.10 (1.11, 3.98)","0.93 (0.29, 2.94)"
"CD 16","1.43 (1.03, 2.00)","1.86 (1.05, 3.27)","0.57 (0.14, 2.32)","1.64 (1.20, 2.23)","1.89 (1.16, 3.07)","0.29 (0.04, 2.08)"
"CD 17","2.22 (1.45, 3.39)","2.46 (1.64, 3.68)","0.38 (0.05, 2.69)","1.48 (0.95, 2.32)","2.66 (1.67, 4.24)","0.31 (0.04, 2.25)"
"CD 18","1.23 (0.23, 6.71)","4.64 (2.58, 8.34)",NA,NA,"1.19 (0.38, 3.76)","0.59 (0.14, 2.39)"
"CD 19","1.85 (1.06, 3.22)","3.78 (2.31, 6.20)","0.45 (0.06, 3.20)",NA,NA,NA
