"CD","111 - 112 (2010 - 2012)","113 - 114 (2013 - 2015)"
"CD 01",9.65145152269361,8.3441377793782
"CD 02",9.68764438874324,9.61594876650075
"CD 03",5.91731608503601,6.06771744164598
"CD 04",6.2350256044929,5.90221156596104
"CD 05",5.19770799396849,4.78358488154171
"CD 06",6.03003094603325,3.985576789414
"CD 07",5.61565341223707,5.16729873757331
"CD 08",6.26771532544281,3.7937400936901
"CD 09",6.93916668855291,6.60457814131829
"CD 10",6.80218719953464,7.10693408203493
"CD 11",9.44737810974819,5.15871140582208
"CD 12",6.7248157755377,4.92722236701464
"CD 13",6.05965207587524,5.86384332993687
"CD 14",8.27797104639563,7.7181123571892
"CD 15",6.02409800439856,5.27574076501425
"CD 16",6.52504216289534,6.71925508383153
"CD 17",6.76638592461836,6.99091607350533
"CD 18",4.84653701753207,4.1971016166914
"CD 19",4.88696139971497,0
