"","CONGRESS2","CD","H","NHB","NHAAPI"
"1","111 - 112 (2010 - 2012)","CD 01","1.24 (0.77 , 1.99)","2.88 (1.92 , 4.32)","0.52 (0.19 , 1.39)"
"2","111 - 112 (2010 - 2012)","CD 02","1.62 (0.77 , 3.41)","3.58 (2.28 , 5.63)","1.01 (0.39 , 2.6)"
"3","111 - 112 (2010 - 2012)","CD 03","0.64 (0.16 , 2.61)","2.35 (1.4 , 3.95)","2.05 (0.65 , 6.5)"
"4","111 - 112 (2010 - 2012)","CD 04","2.69 (0.99 , 7.33)","3.24 (1.93 , 5.44)","1.1 (0.35 , 3.49)"
"5","111 - 112 (2010 - 2012)","CD 05","0 (0 , Inf)","9.36 (4.32 , 20.25)","1.08 (0.27 , 4.39)"
"6","111 - 112 (2010 - 2012)","CD 06","1.7 (1.1 , 2.62)","3.6 (2.43 , 5.33)","0.9 (0.39 , 2.07)"
"7","111 - 112 (2010 - 2012)","CD 07","0.83 (0.26 , 2.64)","3.02 (1.99 , 4.57)","1.76 (0.99 , 3.15)"
"8","111 - 112 (2010 - 2012)","CD 08","1.09 (0.54 , 2.21)","2.5 (1.38 , 4.52)","0.62 (0.23 , 1.69)"
"9","111 - 112 (2010 - 2012)","CD 09","1.13 (0.46 , 2.76)","1.46 (0.54 , 3.95)","1.02 (0.14 , 7.3)"
"10","111 - 112 (2010 - 2012)","CD 10","1.05 (0.33 , 3.32)","2.78 (1.29 , 5.99)","1.61 (0.4 , 6.54)"
"11","111 - 112 (2010 - 2012)","CD 11","1.34 (0.88 , 2.03)","3.28 (2.15 , 5.01)","0.77 (0.19 , 3.11)"
"12","111 - 112 (2010 - 2012)","CD 12","0 (0 , Inf)","2.03 (1.07 , 3.85)","1.37 (0.19 , 9.8)"
"13","111 - 112 (2010 - 2012)","CD 13","1.66 (1.01 , 2.73)","3.04 (2.07 , 4.44)","0.64 (0.28 , 1.48)"
"14","111 - 112 (2010 - 2012)","CD 14","1.94 (0.67 , 5.61)","2.88 (2.04 , 4.08)","1.94 (0.88 , 4.28)"
"15","111 - 112 (2010 - 2012)","CD 15","1.53 (1.03 , 2.25)","3 (1.84 , 4.88)","0.26 (0.04 , 1.89)"
"16","111 - 112 (2010 - 2012)","CD 16","1.43 (1.03 , 2)","1.86 (1.05 , 3.28)","0.57 (0.14 , 2.32)"
"17","111 - 112 (2010 - 2012)","CD 17","2.22 (1.44 , 3.4)","2.46 (1.64 , 3.69)","0.38 (0.05 , 2.7)"
"18","111 - 112 (2010 - 2012)","CD 18","1.23 (0.23 , 6.74)","4.64 (2.57 , 8.38)","0 (0 , Inf)"
"19","111 - 112 (2010 - 2012)","CD 19","1.85 (1.06 , 3.23)","3.78 (2.3 , 6.22)","0.45 (0.06 , 3.2)"
"20","113 - 114 (2013 - 2015)","CD 01","1.74 (1.12 , 2.7)","3.64 (2.53 , 5.25)","0.6 (0.23 , 1.55)"
"21","113 - 114 (2013 - 2015)","CD 02","1.68 (0.86 , 3.28)","3.46 (2.23 , 5.37)","1.42 (0.6 , 3.31)"
"22","113 - 114 (2013 - 2015)","CD 03","0.99 (0.36 , 2.69)","1.61 (0.94 , 2.77)","0.91 (0.23 , 3.7)"
"23","113 - 114 (2013 - 2015)","CD 04","2.42 (1.52 , 3.84)","4.39 (2.97 , 6.5)","0 (0 , Inf)"
"24","113 - 114 (2013 - 2015)","CD 05","1.5 (0.37 , 6.12)","1.01 (0.14 , 7.29)","0.95 (0.23 , 3.87)"
"25","113 - 114 (2013 - 2015)","CD 06","1.76 (0.96 , 3.21)","1.91 (0.89 , 4.09)","0.12 (0.01 , 1.31)"
"26","113 - 114 (2013 - 2015)","CD 07","1.29 (0.56 , 3)","1.69 (0.86 , 3.34)","1.04 (0.47 , 2.32)"
"27","113 - 114 (2013 - 2015)","CD 08","1.63 (0.77 , 3.45)","2.83 (1.33 , 5.99)","0.51 (0.12 , 2.1)"
"28","113 - 114 (2013 - 2015)","CD 09","1.1 (0.41 , 2.98)","2.56 (1.38 , 4.76)","1.06 (0.15 , 7.61)"
"29","113 - 114 (2013 - 2015)","CD 10","1.13 (0.5 , 2.55)","2.38 (1.23 , 4.61)","0.65 (0.09 , 4.69)"
"30","113 - 114 (2013 - 2015)","CD 11","1.19 (0.66 , 2.15)","2.3 (1.35 , 3.91)","0.4 (0.06 , 2.9)"
"31","113 - 114 (2013 - 2015)","CD 12","1 (0.14 , 7.17)","3.44 (1.9 , 6.22)","0 (0 , Inf)"
"32","113 - 114 (2013 - 2015)","CD 13","1.5 (0.93 , 2.42)","3.11 (2.14 , 4.53)","0.63 (0.27 , 1.48)"
"33","113 - 114 (2013 - 2015)","CD 14","2.76 (1.19 , 6.41)","2.96 (2.12 , 4.13)","0.22 (0.03 , 1.6)"
"34","113 - 114 (2013 - 2015)","CD 15","1.7 (1.14 , 2.53)","2.1 (1.1 , 3.99)","0.93 (0.29 , 2.95)"
"35","113 - 114 (2013 - 2015)","CD 16","1.64 (1.2 , 2.24)","1.89 (1.16 , 3.08)","0.29 (0.04 , 2.08)"
"36","113 - 114 (2013 - 2015)","CD 17","1.48 (0.95 , 2.32)","2.66 (1.66 , 4.25)","0.31 (0.04 , 2.26)"
"37","113 - 114 (2013 - 2015)","CD 18","0 (0 , Inf)","1.19 (0.38 , 3.77)","0.59 (0.14 , 2.39)"
